0.1075,0.136,0.145,0.112,0.111,0.135,0.144,0.109,0
0.0304,0.302,0.186,0.001,0.001,0.162,0.287,0.029,1
0.0328,0.159,0.330,0.000,0.000,0.141,0.236,0.101,2
0.0912,0.219,0.163,0.034,0.063,0.157,0.242,0.032,3
0.1043,0.222,0.091,0.137,0.063,0.101,0.220,0.063,4
0.1565,0.181,0.138,0.000,0.134,0.214,0.138,0.039,5
0.1307,0.133,0.141,0.095,0.125,0.163,0.139,0.074,6
0.0566,0.120,0.279,0.000,0.026,0.181,0.196,0.141,7
0.1303,0.135,0.137,0.114,0.081,0.164,0.157,0.082,8
0.1303,0.161,0.149,0.074,0.123,0.127,0.134,0.100,9
0.1655,0.128,0.122,0.152,0.061,0.141,0.161,0.070,A
0.1436,0.121,0.152,0.091,0.102,0.155,0.132,0.104,B
0.0219,0.195,0.183,0.107,0.105,0.164,0.197,0.027,C
0.1248,0.123,0.162,0.098,0.098,0.150,0.120,0.123,D
0.0591,0.155,0.226,0.063,0.064,0.214,0.160,0.059,E
0.1193,0.055,0.324,0.050,0.050,0.207,0.180,0.014,F
0.1638,0.152,0.134,0.109,0.108,0.134,0.138,0.061,G
0.1703,0.107,0.086,0.150,0.160,0.080,0.086,0.160,H
0.0261,0.275,0.211,0.007,0.007,0.133,0.318,0.024,I
0.0399,0.212,0.272,0.002,0.002,0.058,0.376,0.038,J
0.0267,0.239,0.158,0.080,0.088,0.172,0.232,0.004,K
0.0256,0.238,0.238,0.048,0.048,0.403,0.000,0.000,L
0.1633,0.092,0.102,0.154,0.198,0.056,0.027,0.209,M
0.1172,0.215,0.073,0.109,0.118,0.197,0.063,0.108,N
0.1261,0.124,0.131,0.124,0.120,0.118,0.129,0.128,O
0.1067,0.066,0.259,0.079,0.079,0.150,0.121,0.138,P
0.0722,0.194,0.142,0.117,0.093,0.146,0.120,0.116,R
0.1573,0.197,0.154,0.006,0.108,0.230,0.129,0.019,S
0.0108,0.179,0.234,0.009,0.045,0.223,0.240,0.059,T
0.1271,0.132,0.137,0.123,0.133,0.095,0.104,0.148,U
0.0811,0.174,0.182,0.071,0.148,0.110,0.061,0.173,V
0.0476,0.169,0.205,0.042,0.124,0.154,0.114,0.146,Y
0.0476,0.169,0.205,0.042,0.124,0.154,0.114,0.146,Z
0.1185,0.134,0.124,0.136,0.062,0.126,0.157,0.143,a
0.1251,0.133,0.157,0.084,0.088,0.227,0.082,0.103,b
0.0286,0.188,0.182,0.106,0.104,0.165,0.191,0.036,c
0.0848,0.156,0.133,0.125,0.101,0.080,0.229,0.091,d
0.0731,0.128,0.128,0.133,0.143,0.109,0.123,0.165,e
0.0065,0.117,0.284,0.016,0.078,0.140,0.264,0.093,f
0.0567,0.173,0.188,0.077,0.076,0.156,0.202,0.071,g
0.1356,0.086,0.163,0.083,0.090,0.244,0.084,0.116,h
0.0290,0.288,0.219,0.008,0.008,0.132,0.290,0.026,i
0.0210,0.202,0.297,0.006,0.006,0.139,0.310,0.019,j
0.0289,0.248,0.191,0.063,0.059,0.250,0.011,0.149,k
0.0155,0.204,0.268,0.013,0.013,0.204,0.268,0.013,l
0.1725,0.085,0.068,0.156,0.153,0.106,0.102,0.158,m
0.1327,0.087,0.117,0.130,0.133,0.137,0.133,0.131,n
0.1258,0.122,0.130,0.127,0.125,0.118,0.125,0.128,o
0.1104,0.092,0.228,0.088,0.086,0.144,0.128,0.124,p
0.0024,0.000,0.392,0.050,0.050,0.200,0.250,0.057,r
0.1703,0.190,0.156,0.005,0.106,0.206,0.147,0.020,s
0.0070,0.230,0.197,0.017,0.017,0.264,0.244,0.023,t
0.1379,0.139,0.131,0.124,0.135,0.103,0.094,0.135,u
0.0816,0.168,0.173,0.073,0.157,0.109,0.062,0.176,v
0.0570,0.142,0.242,0.043,0.099,0.172,0.126,0.118,y
0.0120,0.164,0.305,0.033,0.007,0.131,0.303,0.046,z

















